frameIndex,coord,centroid
39,"[(211.83884, 232.45703), (308.46423, 214.39226), (161.7243, 174.68794), (135.11278, 322.15216), (38.543476, 216.05635), (228.78972, 38.939865), (166.39098, 381.132), (48.79157, 176.81114), (50.24177, 17.186731), (90.38808, 201.97072)]","(144.0285746, 197.57861960000002)"
40,"[(211.93349, 230.84319), (309.63196, 214.05872), (161.84749, 174.46045), (135.55688, 321.92395), (38.62505, 216.22711), (228.67857, 37.212303), (167.2387, 380.45328), (48.511173, 176.64716), (50.41179, 17.346848), (88.12308, 201.89687)]","(144.0558183, 197.1069881)"
41,"[(212.62018, 229.38637), (310.47504, 214.19724), (162.4172, 174.31708), (136.60811, 321.77472), (39.10524, 216.33432), (228.76036, 35.65133), (168.69843, 379.18484), (48.025978, 176.45059), (50.472008, 17.340357), (87.88357, 204.13663)]","(144.50661159999996, 196.87734769999997)"
42,"[(213.69707, 228.78691), (310.9477, 214.15694), (162.62454, 173.62416), (137.26315, 321.17325), (38.792267, 215.1425), (229.04968, 34.62604), (169.67618, 378.7187), (47.69302, 176.15619), (50.39915, 17.162983), (86.70441, 205.41171)]","(144.6847167, 196.4959383)"
43,"[(214.3876, 228.22644), (311.62802, 214.34875), (162.60071, 172.62593), (137.96573, 320.3102), (38.607635, 213.91406), (229.7929, 34.215782), (171.42644, 377.68323), (47.89373, 176.25117), (50.656452, 17.510975), (86.007385, 207.12233)]","(145.0966602, 196.2208867)"
44,"[(214.74849, 227.49681), (312.25235, 213.66646), (162.52159, 172.04785), (139.16837, 320.29947), (36.177452, 210.62413), (231.41507, 35.4286), (173.08171, 376.72296), (48.65556, 176.77757), (50.68283, 17.546276), (84.731995, 208.44994)]","(145.3435417, 195.9060066)"
45,"[(214.85924, 226.5133), (312.96722, 213.1025), (162.5875, 171.6861), (140.54514, 320.61862), (35.32167, 208.46283), (232.59421, 35.481323), (174.51883, 376.1181), (49.036655, 177.09259), (50.774162, 17.619085), (83.39483, 209.6086)]","(145.6599457, 195.63030479999998)"
46,"[(215.13724, 225.43666), (313.6583, 212.7316), (162.35959, 171.07352), (142.10063, 320.89227), (34.9989, 206.92696), (233.55026, 36.01552), (175.89879, 375.2337), (49.681744, 177.5091), (50.69494, 17.360062), (81.37058, 209.59174)]","(145.9450974, 195.27711319999997)"
47,"[(215.3114, 224.11688), (314.0286, 211.5554), (162.25984, 170.53735), (143.59291, 320.93326), (34.93428, 206.05292), (233.94629, 35.249775), (177.57008, 374.0918), (49.83966, 177.54707), (50.716103, 17.310493), (79.70957, 209.73131)]","(146.1908733, 194.7126258)"
48,"[(215.8076, 222.57472), (315.25134, 211.0265), (162.14247, 169.85281), (144.17125, 320.3385), (35.819378, 206.08455), (233.86745, 33.943558), (179.2044, 372.40842), (49.00927, 175.71356), (50.78703, 17.32828), (79.1856, 210.43979)]","(146.52457880000003, 193.97106879999995)"
49,"[(215.98637, 221.19266), (316.88577, 210.14227), (161.96048, 168.76709), (144.54424, 319.38617), (35.919827, 205.61993), (234.0168, 33.75165), (181.26212, 370.52185), (46.522655, 171.44322), (50.91836, 17.44463), (78.29978, 210.60493)]","(146.6316402, 192.88744000000003)"
50,"[(216.77225, 219.5157), (319.03952, 208.88046), (162.02745, 168.0089), (144.87193, 318.2694), (36.132168, 205.53374), (234.4422, 33.97827), (183.26338, 369.02286), (47.32038, 170.3388), (51.15314, 17.604961), (77.30016, 210.31412)]","(147.2322578, 192.1467211)"
51,"[(218.09296, 218.06274), (321.25433, 207.03441), (161.54779, 166.48761), (145.36606, 317.50546), (35.446667, 204.60596), (234.46873, 33.707436), (184.36757, 368.33063), (48.28884, 169.88316), (50.98134, 17.163378), (76.30239, 209.85776)]","(147.61166769999997, 191.2638544)"
52,"[(219.60574, 216.86295), (323.53928, 205.05653), (161.72997, 165.99736), (145.94876, 317.30063), (34.985764, 203.94931), (234.58586, 33.492985), (186.7174, 368.15128), (48.785988, 169.97018), (50.765015, 16.776148), (74.11971, 208.47798)]","(148.0783487, 190.60353530000003)"
53,"[(221.047, 215.47803), (324.67557, 203.19257), (161.78139, 165.41803), (145.82594, 317.37054), (34.162857, 202.89293), (234.75652, 33.778336), (188.5775, 367.33496), (49.335045, 169.94283), (50.75721, 16.550108), (72.54953, 207.53192)]","(148.3468562, 189.94902539999998)"
54,"[(222.21448, 214.4024), (325.48462, 201.38228), (161.50967, 164.4549), (146.11162, 317.3993), (34.143047, 202.5313), (235.04735, 34.2379), (190.49889, 366.1215), (49.9484, 169.36081), (51.02588, 16.802607), (71.13134, 207.07248)]","(148.7115297, 189.3765477)"
55,"[(222.93083, 213.15732), (326.0638, 199.47688), (161.88217, 164.40672), (146.7885, 317.75665), (34.769806, 202.5115), (235.70511, 34.997616), (192.28897, 365.0418), (50.576996, 168.46524), (51.38525, 17.210047), (70.15274, 207.02054)]","(149.2544172, 189.00443130000002)"
56,"[(223.80417, 212.05635), (327.73047, 199.33101), (162.08989, 164.4808), (147.44241, 317.53906), (33.171776, 200.20334), (236.15367, 34.769085), (194.44714, 364.51196), (50.326584, 167.34538), (51.48405, 17.207403), (68.90269, 206.30223)]","(149.555285, 188.37466179999998)"
